GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0022400010,1610612753,ORL,Orlando,1641710,Anthony Black,Anthony,,,19.000000:40,0.203,0.182,0.207,0.0,0.083,0.0,0.0,0.0,0.067,0.053,0.25,0.333,0.333,0.0,0.5,0.143,0.1,0.121
0022400010,1610612753,ORL,Orlando,1628371,Jonathan Isaac,Jonathan,,,24.000000:54,0.166,0.222,0.146,0.2,0.176,0.182,0.286,0.667,0.278,0.375,0.0,0.143,0.167,0.5,0.0,0.5,0.133,0.212
0022400010,1610612753,ORL,Orlando,203914,Gary Harris,Gary,,,13.000000:40,0.033,0.0,0.045,0.0,0.0,0.0,0.0,0.333,0.0,0.077,0.0,0.0,0.333,0.0,0.0,0.167,0.0,0.0
0022400010,1610612753,ORL,Orlando,1629021,Moritz Wagner,Moritz,,,19.000000:53,0.221,0.357,0.2,0.2,0.125,0.273,0.286,0.167,0.25,0.222,0.333,0.25,0.167,0.0,0.0,0.0,0.333,0.318
0022400010,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,,,4.000000:19,0.333,0.0,0.286,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.333,1.0,0.0
0022400010,1610612753,ORL,Orlando,1631216,Caleb Houstan,Caleb,,,1.000000:13,0.25,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400010,1610612753,ORL,Orlando,1641724,Jett Howard,Jett,,,1.000000:13,0.25,1.0,0.333,1.0,0.333,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0
0022400010,1610612753,ORL,Orlando,202709,Cory Joseph,Cory,,,1.000000:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0022400627,1610612764,WAS,Washington,1642267,Bub Carrington,Bub,F,,22.000000:35,0.103,0.12,0.098,0.0,0.077,0.0,0.0,0.0,0.333,0.208,0.235,0.167,0.25,0.333,0.0,0.0,0.0,0.102
0022400627,1610612764,WAS,Washington,1641774,Tristan Vukcevic,Tristan,F,,20.000000:58,0.21,0.348,0.229,0.167,0.148,0.0,0.286,0.1,0.333,0.227,0.0,0.0,0.0,0.667,0.0,0.333,0.111,0.298
0022400627,1610612764,WAS,Washington,1642259,Alex Sarr,Alex,C,,23.000000:12,0.281,0.292,0.264,0.667,0.276,0.8,0.571,0.455,0.286,0.36,0.133,0.25,0.4,0.0,0.0,0.0,0.375,0.373
0022400627,1610612764,WAS,Washington,1642358,AJ Johnson,AJ,G,,28.000000:25,0.163,0.161,0.179,0.125,0.172,0.2,0.125,0.167,0.0,0.05,0.286,0.125,0.25,0.0,0.0,0.667,0.182,0.16
0022400627,1610612764,WAS,Washington,1629673,Jordan Poole,Jordan,G,,19.000000:35,0.248,0.045,0.244,0.0,0.36,0.0,0.0,0.0,0.154,0.095,0.333,0.333,0.0,0.0,0.0,0.0,0.5,0.038
0022400627,1610612764,WAS,Washington,1630550,JT Thor,JT,,,30.000000:25,0.133,0.136,0.157,0.0,0.136,0.182,0.133,0.4,0.083,0.176,0.188,0.0,0.375,0.0,1.0,0.2,0.1,0.131
0022400627,1610612764,WAS,Washington,1641798,Jaylen Martin,Jaylen,,,31.000000:21,0.204,0.174,0.193,0.167,0.12,0.182,0.133,0.222,0.385,0.318,0.063,0.3,0.0,0.0,0.0,0.1,0.1,0.175
0022400627,1610612764,WAS,Washington,1641732,Colby Jones,Colby,,,26.000000:18,0.237,0.45,0.25,0.667,0.235,0.222,0.273,0.333,0.273,0.286,0.2,0.167,0.429,0.0,0.0,0.2,0.25,0.436
0022400627,1610612764,WAS,Washington,1630264,Anthony Gill,Anthony,,,23.000000:32,0.205,0.167,0.158,0.167,0.2,0.333,0.364,0.5,0.0,0.083,0.143,0.333,0.0,0.0,0.0,0.3,0.429,0.196
0022400627,1610612764,WAS,Washington,203935,Marcus Smart,Marcus,,,13.000000:39,0.23,0.0,0.273,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.667,0.25,0.25,1.0,0.0,0.0,0.0,0.0
0022400627,1610612764,WAS,Washington,1630551,Justin Champagnie,Justin,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
